true_pos,obs_pos,true_var
125,137,20
125,137,20
125,137,20
125,137,20
125,137,20
125,137,20
125,137,20
125,137,20
125,137,20
125,137,20
125,137,20
125,137,20
125,137,20
125,137,20
125,137,20
125,137,20
125,137,20
125,137,20
125,137,20
125,137,20
125,137,20
125,137,20
125,137,20
125,137,20
125,137,20
125,110,20
125,110,20
125,110,20
125,110,20
125,110,20
125,110,20
125,110,20
125,110,20
125,110,20
125,110,20
125,110,20
125,110,20
125,110,20
125,110,20
125,110,20
125,110,20
125,110,20
125,105,20
125,105,20
125,105,20
125,105,20
125,105,20
125,105,20
125,105,20
125,105,20
125,105,20
125,105,20
125,90,20
125,90,20
125,90,20
125,90,20
125,90,20
125,90,20
125,90,20
125,90,20
125,90,20
125,90,20
125,119,20
125,119,20
125,119,20
125,119,20
125,119,20
125,119,20
125,119,20
125,119,20
125,119,20
125,119,20
125,119,20
125,119,20
125,119,20
125,119,20
125,119,20
125,119,20
125,119,20
125,98,20
125,98,20
125,98,20
125,98,20
125,98,20
125,98,20
125,98,20
125,98,20
125,98,20
125,98,20
125,98,20
125,98,20
125,98,20
125,98,20
125,98,20
125,98,20
125,98,20
125,98,20
125,98,20
125,98,20
125,98,20
125,98,20
125,98,20
125,98,20
125,98,20
125,98,20
125,98,20
125,98,20
125,98,20
125,98,20
125,98,20
125,98,20
125,98,20
125,98,20
125,98,20
125,98,20
125,98,20
125,112,20
125,112,20
125,112,20
125,112,20
125,112,20
125,112,20
125,112,20
125,112,20
125,112,20
125,112,20
125,112,20
125,112,20
125,112,20
125,112,20
125,112,20
125,112,20
125,112,20
125,112,20
125,112,20
125,112,20
125,112,20
125,112,20
125,112,20
125,112,20
125,112,20
125,112,20
125,112,20
125,112,20
125,112,20
125,112,20
125,112,20
125,112,20
125,112,20
125,112,20
125,112,20
125,112,20
125,112,20
125,112,20
125,112,20
125,112,20
125,112,20
125,144,20
125,144,20
125,144,20
125,144,20
125,144,20
125,144,20
125,144,20
125,144,20
125,144,20
125,144,20
125,144,20
125,144,20
125,144,20
125,144,20
125,144,20
125,144,20
125,144,20
125,144,20
125,144,20
125,144,20
125,144,20
125,144,20
125,144,20
125,144,20
125,78,20
125,78,20
125,78,20
125,78,20
125,78,20
125,78,20
125,78,20
125,78,20
125,78,20
125,78,20
125,78,20
125,78,20
125,78,20
125,130,20
125,130,20
125,130,20
125,130,20
125,130,20
125,130,20
125,130,20
125,106,20
125,106,20
125,106,20
125,106,20
125,106,20
125,106,20
125,106,20
125,106,20
125,106,20
125,106,20
125,106,20
125,106,20
125,129,20
125,129,20
125,129,20
125,129,20
125,129,20
125,129,20
125,129,20
125,129,20
125,129,20
125,129,20
125,129,20
125,129,20
125,129,20
125,129,20
125,129,20
125,129,20
125,129,20
125,115,20
125,115,20
125,115,20
125,115,20
125,115,20
125,115,20
125,115,20
125,115,20
125,106,20
125,106,20
125,106,20
125,106,20
125,106,20
125,106,20
125,106,20
125,106,20
125,106,20
125,106,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,157,20
125,138,20
125,138,20
125,138,20
125,138,20
125,138,20
125,138,20
125,138,20
125,138,20
125,138,20
125,138,20
125,138,20
125,138,20
125,138,20
125,138,20
125,138,20
125,138,20
125,138,20
125,119,20
125,119,20
125,119,20
125,119,20
125,119,20
125,119,20
125,119,20
125,119,20
125,119,20
125,119,20
125,170,20
125,170,20
125,170,20
125,170,20
125,170,20
125,170,20
125,170,20
125,170,20
125,170,20
125,170,20
125,170,20
125,170,20
125,170,20
125,170,20
125,170,20
125,170,20
125,170,20
125,170,20
125,170,20
125,170,20
125,170,20
125,170,20
125,170,20
125,170,20
125,170,20
125,170,20
125,170,20
125,119,20
125,119,20
125,119,20
125,119,20
125,119,20
125,119,20
125,119,20
125,119,20
125,119,20
125,119,20
125,119,20
125,119,20
125,119,20
125,119,20
125,119,20
125,119,20
125,119,20
125,119,20
125,119,20
125,119,20
125,132,20
125,132,20
125,132,20
125,132,20
125,132,20
125,132,20
125,132,20
125,134,20
125,134,20
125,134,20
125,134,20
125,134,20
125,134,20
125,134,20
125,134,20
125,134,20
125,134,20
125,134,20
125,134,20
125,134,20
125,134,20
125,134,20
125,124,20
125,124,20
125,124,20
125,124,20
125,124,20
125,124,20
125,124,20
125,124,20
125,124,20
125,124,20
125,124,20
125,121,20
125,121,20
125,121,20
125,121,20
125,121,20
125,121,20
125,121,20
125,121,20
125,121,20
125,121,20
125,121,20
125,121,20
125,121,20
125,121,20
125,121,20
125,121,20
125,142,20
125,142,20
125,142,20
125,142,20
125,142,20
125,142,20
125,142,20
125,142,20
125,142,20
125,142,20
125,142,20
125,142,20
125,142,20
125,142,20
125,142,20
125,142,20
125,142,20
125,142,20
125,142,20
125,142,20
125,142,20
125,142,20
125,142,20
125,142,20
125,142,20
125,142,20
125,142,20
125,142,20
125,142,20
125,142,20
125,142,20
125,142,20
125,142,20
125,142,20
125,142,20
125,142,20
125,142,20
125,142,20
125,142,20
125,142,20
125,142,20
125,142,20
125,142,20
125,134,20
125,134,20
125,134,20
125,134,20
125,134,20
125,134,20
125,134,20
125,134,20
125,134,20
125,134,20
125,134,20
125,134,20
125,134,20
125,134,20
125,134,20
125,134,20
125,134,20
125,134,20
125,134,20
125,118,20
125,118,20
125,118,20
125,118,20
125,118,20
125,118,20
125,118,20
125,118,20
125,118,20
125,118,20
125,118,20
125,118,20
125,118,20
125,118,20
125,118,20
125,118,20
125,118,20
125,102,20
125,102,20
125,102,20
125,102,20
125,102,20
125,102,20
125,102,20
125,102,20
125,102,20
125,102,20
125,102,20
125,102,20
125,102,20
125,102,20
125,102,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,162,20
125,137,20
125,137,20
125,137,20
125,137,20
125,137,20
125,137,20
125,137,20
125,137,20
125,137,20
125,137,20
125,137,20
125,137,20
125,137,20
125,137,20
125,137,20
125,137,20
125,137,20
125,137,20
125,135,20
125,135,20
125,135,20
125,135,20
125,135,20
125,135,20
125,135,20
125,135,20
125,121,20
125,121,20
125,121,20
125,121,20
125,121,20
125,121,20
125,121,20
125,121,20
125,121,20
125,121,20
125,121,20
125,121,20
125,121,20
125,121,20
125,121,20
125,121,20
125,121,20
125,121,20
85,82,20
85,82,20
85,82,20
85,82,20
85,82,20
85,82,20
85,82,20
85,82,20
85,82,20
85,82,20
85,82,20
85,82,20
85,82,20
85,82,20
85,82,20
85,82,20
85,82,20
85,82,20
85,82,20
85,82,20
85,82,20
85,82,20
85,82,20
85,82,20
85,82,20
85,82,20
85,82,20
85,82,20
85,58,20
85,58,20
85,58,20
85,58,20
85,58,20
85,58,20
85,58,20
85,58,20
85,58,20
85,58,20
85,58,20
85,58,20
85,58,20
85,58,20
85,58,20
85,58,20
85,58,20
85,88,20
85,88,20
85,88,20
85,88,20
85,88,20
85,88,20
85,88,20
85,88,20
85,88,20
85,88,20
85,88,20
85,88,20
85,88,20
85,88,20
85,88,20
85,88,20
85,88,20
85,88,20
85,88,20
85,88,20
85,88,20
85,88,20
85,88,20
85,88,20
85,88,20
85,88,20
85,88,20
85,88,20
85,88,20
85,88,20
85,88,20
85,88,20
85,64,20
85,64,20
85,64,20
85,64,20
85,64,20
85,64,20
85,64,20
85,64,20
85,66,20
85,66,20
85,66,20
85,66,20
85,66,20
85,66,20
85,66,20
85,66,20
85,66,20
85,66,20
